chan_rank,channelTitle,chan_subscribers,chan_video_views,chan_video_count,chan_category,chan_started,chan_average_views_per_video,chan_number_trending_videos
955,Pastor Antônio Júnior,11200000,1646248092,3624,People & Blogs,2013,454262.7185430463,0
956,CarryisLive,11200000,1371995657,893,Gaming,2017,1536389.313549832,0
957,MaJa Tv Moral Stories Fairy Tales,11100000,4132213251,449,Entertainment,2017,9203147.55233853,0
958,FunToys Collector Disney Toys Review,11100000,15050447314,2910,Entertainment,2011,5171975.021993127,0
959,DisneyJuniorUK,11100000,12321708693,2799,Entertainment,2010,4402182.455519829,0
960,Morphle TV,11100000,7586526902,1126,Entertainment,2011,6737590.4991119,0
961,Влад и Никита,11100000,6761739774,396,Unknown,2018,17075100.439393938,0
962,Chotoonz TV - Funny Cartoons for Kids,11100000,7015448647,1797,Film & Animation,2013,3903978.1007234277,0
963,penguinz0,11100000,5768785195,3952,Gaming,2007,1459712.85298583,1
964,ToysPlay,11100000,7000333135,397,Entertainment,2015,17633080.944584385,0
965,Pari's Lifestyle,11100000,6680703649,356,People & Blogs,2018,18766021.485955056,0
966,Comedy Central,11100000,6297139999,5841,Comedy,2006,1078092.792158877,0
967,Diana and Roma IND,11100000,4802776148,446,Unknown,2019,10768556.385650225,0
968,Sky Does Everything,11100000,3823868578,2101,Music,2011,1820023.1213707759,0
969,BakLol Video,11100000,3250851179,257,Entertainment,2016,12649226.377431907,0
970,Genius,11100000,2891052624,2797,Music,2011,1033626.2509831963,0
971,Mo Vlogs,11100000,2933099311,1906,People & Blogs,2013,1538876.8683105982,0
972,The Film Theorists,11100000,2242892562,355,Film & Animation,2014,6318007.2169014085,20
973,bharatzkitchen HINDI,11100000,1903304025,626,Howto & Style,2016,3040421.765175719,0
974,Mrwhosetheboss,11100000,1793692542,1435,Science & Technology,2011,1249959.9595818815,12
975,Acenix,11100000,1606057806,259,Gaming,2014,6200995.38996139,0
976,HellomaphieMX,11100000,1584174173,382,Howto & Style,2013,4147052.8089005235,0
977,Virgínia Fonseca,11100000,1246793263,1047,People & Blogs,2016,1190824.510983763,0
979,Barbie,11000000,3703938514,2411,Entertainment,2005,1536266.492741601,0
980,Inside Edition,11000000,19367966533,27156,News & Politics,2012,713211.3173147739,1
981,Flowers Comedy,11000000,9521653019,8840,Entertainment,2015,1077110.0700226245,0
982,Flamingo,11000000,8874980800,2196,Gaming,2017,4041430.2367941714,2
